bus,family,method,seeds,n_seeds,eval_n_per_seed,asr_mean,asr_std,evasion_rate_mean,evasion_rate_std,mean_sds_mean,mean_sds_std,mean_stealth_mean,mean_stealth_std,tau_bdd_mean,tau_bdd_std
30,Q-NPG-FDIA,Q-NPG-FDIA,0 1 2,3,256,1.0,0.0,1.0,0.0,0.4492391956977859,0.11016096554293368,0.688412882109858,0.08820623330644155,79.08194448784874,0.0
30,Q-NPG-FDIA,coordinated_sparse,0 1 2,3,256,0.4830729166666667,0.03412849589083635,0.9231770833333334,0.01578692142315383,0.020980096499217605,0.0003476422275939097,0.3764445060663792,0.01627549889130487,79.08194448784874,0.0
30,Q-NPG-FDIA,liu_stealthy,0 1 2,3,256,0.3541666666666667,0.0318145617783089,1.0,0.0,0.01895478604355186,0.0004185624398185886,1.0,0.0,79.08194448784874,0.0
30,Q-NPG-FDIA,multiplicative,0 1 2,3,256,1.0,0.0,1.0,0.0,0.26869150889884913,1.0698221995076791e-05,0.9830110607288876,2.0236819160439707e-05,79.08194448784874,0.0
30,Q-NPG-FDIA,random,0 1 2,3,256,0.4622395833333333,0.027713276892959327,0.91015625,0.010334966058846057,0.020743785601482854,0.00041573888312946525,0.38621673733223294,0.01588759183810508,79.08194448784874,0.0
30,Q-NPG-FDIA,step,0 1 2,3,256,0.0,0.0,0.0,0.0,0.050941062384915116,0.000584133784723606,0.0,0.0,79.08194448784874,0.0
57,Q-NPG-FDIA,Q-NPG-FDIA,0 1 2,3,256,1.0,0.0,1.0,0.0,0.31597850316763637,0.048008665789657234,0.8241269628599737,0.03581738598396045,139.92077389845574,0.0
57,Q-NPG-FDIA,coordinated_sparse,0 1 2,3,256,0.055989583333333336,0.005966895436140417,1.0,0.0,0.013287637299875902,0.0002162860503279594,0.8718679307280647,0.0029625667380778413,139.92077389845574,0.0
57,Q-NPG-FDIA,liu_stealthy,0 1 2,3,256,0.028645833333333332,0.004510548978043952,1.0,0.0,0.013586587057609444,0.00015787544625964068,1.0,0.0,139.92077389845574,0.0
57,Q-NPG-FDIA,multiplicative,0 1 2,3,256,1.0,0.0,1.0,0.0,0.28761557099622886,0.0026989270700618745,0.9119287652949648,0.0015926794875261697,139.92077389845574,0.0
57,Q-NPG-FDIA,random,0 1 2,3,256,0.32421875,0.029491540762776366,1.0,0.0,0.018217801554045177,0.00015661978071040064,0.7602442127304321,0.0022571752214544934,139.92077389845574,0.0
57,Q-NPG-FDIA,step,0 1 2,3,256,1.0,0.0,1.0,0.0,0.04160709991920535,0.0002937229172487243,0.2860265230562041,0.005414962127086305,139.92077389845574,0.0
118,Q-NPG-FDIA,Q-NPG-FDIA,0 1 2,3,256,1.0,0.0,1.0,0.0,0.08087916634241868,0.006217139738022542,0.9464384401575168,0.016448462417693894,272.83576939209644,0.0
118,Q-NPG-FDIA,coordinated_sparse,0 1 2,3,256,0.0,0.0,1.0,0.0,0.005464978392518091,5.5583688665610926e-05,0.9715161482126442,0.0007960462959879845,272.83576939209644,0.0
118,Q-NPG-FDIA,liu_stealthy,0 1 2,3,256,0.0,0.0,1.0,0.0,0.0036080791143529405,1.4923071081429477e-06,1.0,0.0,272.83576939209644,0.0
118,Q-NPG-FDIA,multiplicative,0 1 2,3,256,1.0,0.0,1.0,0.0,0.18716901894591342,0.0032957068219698995,0.925768032991436,0.002222375031505535,272.83576939209644,0.0
118,Q-NPG-FDIA,random,0 1 2,3,256,0.0,0.0,1.0,0.0,0.010871544148223092,9.14340316792838e-05,0.883351459004909,0.0010875583089684873,272.83576939209644,0.0
118,Q-NPG-FDIA,step,0 1 2,3,256,0.9973958333333334,0.002255274489021976,1.0,0.0,0.0309546553332025,0.00012257169741105418,0.6468916936266492,0.001339269822476003,272.83576939209644,0.0
