bus,seed,family,method,n,result_path,asr,evasion_rate,mean_sds,mean_stealth,tau_bdd
30,2,Q-NPG-FDIA,random,256,runs/qnpg_seed_sweep/bus30_seed2/qnpg_30_results.csv,0.45703125,0.90625,0.020751744213662597,0.3679037683525316,79.08194448784874
30,2,Q-NPG-FDIA,multiplicative,256,runs/qnpg_seed_sweep/bus30_seed2/qnpg_30_results.csv,1.0,1.0,0.26867991366092764,0.9830342122806922,79.08194448784874
30,2,Q-NPG-FDIA,coordinated_sparse,256,runs/qnpg_seed_sweep/bus30_seed2/qnpg_30_results.csv,0.51171875,0.9375,0.021316177803259645,0.39306496010543746,79.08194448784874
57,0,Q-NPG-FDIA,Q-NPG-FDIA,256,runs/qnpg_seed_sweep/bus57_seed0/qnpg_57_results.csv,1.0,1.0,0.3467417772224294,0.8442285783538367,139.92077389845574
57,0,Q-NPG-FDIA,liu_stealthy,256,runs/qnpg_seed_sweep/bus57_seed0/qnpg_57_results.csv,0.03125,1.0,0.01367411685969228,1.0,139.92077389845574
57,0,Q-NPG-FDIA,step,256,runs/qnpg_seed_sweep/bus57_seed0/qnpg_57_results.csv,1.0,1.0,0.04187298952889841,0.29163531472669385,139.92077389845574
57,0,Q-NPG-FDIA,random,256,runs/qnpg_seed_sweep/bus57_seed0/qnpg_57_results.csv,0.328125,1.0,0.018212845382162696,0.7623330947866878,139.92077389845574
57,0,Q-NPG-FDIA,multiplicative,256,runs/qnpg_seed_sweep/bus57_seed0/qnpg_57_results.csv,1.0,1.0,0.28459386389151353,0.9136923955056439,139.92077389845574
57,0,Q-NPG-FDIA,coordinated_sparse,256,runs/qnpg_seed_sweep/bus57_seed0/qnpg_57_results.csv,0.05078125,1.0,0.013202187301844002,0.8724599913594746,139.92077389845574
57,1,Q-NPG-FDIA,Q-NPG-FDIA,256,runs/qnpg_seed_sweep/bus57_seed1/qnpg_57_results.csv,1.0,1.0,0.26065881764040355,0.845378374357477,139.92077389845574
57,1,Q-NPG-FDIA,liu_stealthy,256,runs/qnpg_seed_sweep/bus57_seed1/qnpg_57_results.csv,0.0234375,1.0,0.013404335489909516,1.0,139.92077389845574
57,1,Q-NPG-FDIA,step,256,runs/qnpg_seed_sweep/bus57_seed1/qnpg_57_results.csv,1.0,1.0,0.04165650145709718,0.2808288226361722,139.92077389845574
57,1,Q-NPG-FDIA,random,256,runs/qnpg_seed_sweep/bus57_seed1/qnpg_57_results.csv,0.3515625,1.0,0.018376840596102485,0.757849857335895,139.92077389845574
57,1,Q-NPG-FDIA,multiplicative,256,runs/qnpg_seed_sweep/bus57_seed1/qnpg_57_results.csv,1.0,1.0,0.2884659913880795,0.9114984303220476,139.92077389845574
57,1,Q-NPG-FDIA,coordinated_sparse,256,runs/qnpg_seed_sweep/bus57_seed1/qnpg_57_results.csv,0.0546875,1.0,0.0131271299713853,0.8744897591879204,139.92077389845574
57,2,Q-NPG-FDIA,Q-NPG-FDIA,256,runs/qnpg_seed_sweep/bus57_seed2/qnpg_57_results.csv,1.0,1.0,0.34053491464007624,0.7827739358686072,139.92077389845574
57,2,Q-NPG-FDIA,liu_stealthy,256,runs/qnpg_seed_sweep/bus57_seed2/qnpg_57_results.csv,0.03125,1.0,0.013681308823226537,1.0,139.92077389845574
57,2,Q-NPG-FDIA,step,256,runs/qnpg_seed_sweep/bus57_seed2/qnpg_57_results.csv,1.0,1.0,0.04129180877162046,0.2856154318057461,139.92077389845574
57,2,Q-NPG-FDIA,random,256,runs/qnpg_seed_sweep/bus57_seed2/qnpg_57_results.csv,0.29296875,1.0,0.01806371868387035,0.7605496860687134,139.92077389845574
57,2,Q-NPG-FDIA,multiplicative,256,runs/qnpg_seed_sweep/bus57_seed2/qnpg_57_results.csv,1.0,1.0,0.2897868577090936,0.9105954700572032,139.92077389845574
57,2,Q-NPG-FDIA,coordinated_sparse,256,runs/qnpg_seed_sweep/bus57_seed2/qnpg_57_results.csv,0.0625,1.0,0.013533594626398401,0.8686540416367992,139.92077389845574
