run,dataset,bus,model,variant,system_label,model_name,accuracy,balanced_accuracy,precision,recall,f1,mcc,fpr,fnr,auroc,auprc,latency_ms_per_sample,n,threshold
qgrid57_cnn1d_full,qgrid,57,cnn1d,full,QGrid-Synth 57-bus,1D-CNN,0.8975149700598802,0.8975149700598803,0.9399562595268076,0.8492814371257486,0.8923212431973324,0.7987551929770719,0.054251497005988025,0.1507185628742515,0.9529366165871849,0.9645515621992897,0.005944440417370932,33400,
qgrid57_cnn1d_zplusa,qgrid,57,cnn1d,z_plus_abs_a,QGrid-Synth 57-bus,1D-CNN+|a|,0.9997604790419161,0.9997604790419161,1.0,0.9995209580838323,0.9997604216578821,0.9995210727694653,0.0,0.00047904191616766467,1.0,1.0,0.007717294791367597,33400,
qgrid57_mlp_full,qgrid,57,mlp,full,QGrid-Synth 57-bus,MLP,0.862934131736527,0.8629341317365269,0.9346672403901319,0.7804191616766467,0.8506069703694035,0.7359593273951291,0.05455089820359282,0.2195808383233533,0.9175488185306034,0.9406762840943222,0.005112279911977267,33400,
qgrid57_mlp_zplusa,qgrid,57,mlp,z_plus_abs_a,QGrid-Synth 57-bus,MLP+|a|,0.9994910179640718,0.9994910179640719,1.0,0.9989820359281437,0.9994907587694335,0.9989825535265388,0.0,0.0010179640718562875,0.9999642869948726,0.9999772729599526,0.005902037453910191,33400,
qgrid57_gcn_full,qgrid,57,gcn,full,QGrid-Synth 57-bus,GCN,0.6798502994011976,0.6798502994011976,0.986712040187976,0.3646107784431138,0.5324646932796991,0.46340851842563446,0.004910179640718563,0.6353892215568863,0.7774184391695651,0.8302912622538643,0.0055673408662219965,33400,
qgrid57_wgcn_full,qgrid,57,wgcn,full,QGrid-Synth 57-bus,W-GCN,0.7862275449101797,0.7862275449101797,0.9639875752281111,0.5946706586826347,0.7355751425820309,0.6197405753549253,0.02221556886227545,0.40532934131736525,0.8679671752303775,0.9008166465487815,0.005681405386268468,33400,
qgrid57_gat_full,qgrid,57,gat,full,QGrid-Synth 57-bus,GAT,0.8069760479041916,0.8069760479041916,0.9848671143478672,0.6235329341317365,0.7636123638763612,0.6599749045336172,0.009580838323353293,0.37646706586826345,0.8713724120621034,0.9084426829763248,0.006801898327717435,33400,
