status,device,bus,backend,policy,n_qubits,vqc_layers,logical_depth,logical_num_gates,shots,n_points,faithfulness_max_abs,simulator_stealth,simulator_sds,simulator_flagged_rate,device_stealth,device_sds,device_flagged_rate,mean_abs_attack_delta,verdict,json_path
complete,sim,30,,runs/policies/qnpg_30_policy.npz,4,3,2,2,1024,2,,0.9930741372495058,0.07432770240738795,0.0,0.9930741372495058,0.07432770240738795,0.0,0.0,survives_device,runs/quantum_architectures/verify_sim_30.json
complete,aer,30,,runs/policies/qnpg_30_policy.npz,4,3,2,2,1024,2,0.03981283249611317,0.9924535544939159,0.07873857830944594,0.0,0.9925556640597868,0.07801551876889534,0.0,0.00023652372271706391,survives_device,runs/quantum_architectures/verify_aer_30.json
complete,aer_noisy,30,FakeKolkataV2,runs/policies/qnpg_30_policy.npz,4,3,2,2,1024,2,0.09617977972274305,0.9924535544939159,0.07873857830944594,0.0,0.9939372841480518,0.07105811784261576,0.0,0.001991703761362238,survives_device,runs/quantum_architectures/verify_aer_noisy_30.json
planned_after_token_rotation,ibm,30,ibm_fez,runs/policies/qnpg_30_policy.npz,4,3,2,2,1024,4,,,,,,,,,pending_token_rotation_and_qpu_submission,runs/quantum_architectures/verify_ibm_30_ibm_smoke_30.json
