run,dataset,bus,model,variant,system_label,model_name,accuracy,balanced_accuracy,precision,recall,f1,mcc,fpr,fnr,auroc,auprc,latency_ms_per_sample,n,threshold
qgrid118_cnn1d_full,qgrid,118,cnn1d,full,QGrid-Synth 118-bus,1D-CNN,0.8344011976047904,0.8344011976047905,0.8844750430292599,0.7692814371257485,0.8228662930344275,0.6745478156214045,0.10047904191616766,0.2307185628742515,0.8966883663810105,0.9229186746169503,0.006728051648570035,33400,
qgrid30_cnn1d_full,qgrid,30,cnn1d,full,QGrid-Synth 30-bus,1D-CNN,0.9774850299401198,0.9774850299401198,0.9887826406767194,0.9659281437125748,0.9772217846974011,0.9552252568334644,0.01095808383233533,0.03407185628742515,0.9964192495249022,0.9970836719337777,0.0056467752089489716,33400,
qgrid57_cnn1d_full,qgrid,57,cnn1d,full,QGrid-Synth 57-bus,1D-CNN,0.8975149700598802,0.8975149700598803,0.9399562595268076,0.8492814371257486,0.8923212431973324,0.7987551929770719,0.054251497005988025,0.1507185628742515,0.9529366165871849,0.9645515621992897,0.005944440417370932,33400,
ruan118_cnn1d_full,ruan,118,cnn1d,full,Ruan CAISO 118-bus,1D-CNN,0.9891,0.9891021795640872,1.0,0.9782043591281744,0.9889821085616092,0.9784326149536512,0.0,0.021795640871825634,0.9994370799774833,0.9995130900770093,0.006199144315905869,10000,
ruan30_cnn1d_full,ruan,30,cnn1d,full,Ruan CAISO 30-bus,1D-CNN,0.9963,0.9963007398520296,1.0,0.9926014797040592,0.9962870045158053,0.9926271890822255,0.0,0.007398520295940812,0.9978619799144792,0.9986489324282106,0.008478863607160747,10000,
