run,dataset,bus,model,variant,system_label,model_name,accuracy,balanced_accuracy,precision,recall,f1,mcc,fpr,fnr,auroc,auprc,latency_ms_per_sample,n,threshold
qgrid118_cnn1d_full,qgrid,118,cnn1d,full,QGrid-Synth 118-bus,1D-CNN,0.8344011976047904,0.8344011976047905,0.8844750430292599,0.7692814371257485,0.8228662930344275,0.6745478156214045,0.10047904191616766,0.2307185628742515,0.8966883663810105,0.9229186746169503,0.006728051648570035,33400,
qgrid118_cnn1d_zplusa,qgrid,118,cnn1d,z_plus_abs_a,QGrid-Synth 118-bus,1D-CNN+|a|,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.009225074579649254,33400,
qgrid118_mlp_full,qgrid,118,mlp,full,QGrid-Synth 118-bus,MLP,0.8385329341317366,0.8385329341317365,0.9492966701104665,0.7152694610778443,0.8158317112317727,0.6986283783824101,0.03820359281437126,0.28473053892215566,0.8602167198537057,0.9056003319373651,0.005710463947198259,33400,
qgrid118_mlp_zplusa,qgrid,118,mlp,z_plus_abs_a,QGrid-Synth 118-bus,MLP+|a|,0.9873353293413174,0.9873353293413174,0.9996930066924541,0.9749700598802395,0.9871767666050262,0.9749688495404013,0.0002994011976047904,0.02502994011976048,0.998572688156621,0.9989251724128603,0.005766785840230609,33400,
qgrid118_gcn_full,qgrid,118,gcn,full,QGrid-Synth 118-bus,GCN,0.7160179640718562,0.7160179640718562,0.8796968740132618,0.5004790419161677,0.6379909163772375,0.4788084561053968,0.06844311377245509,0.49952095808383234,0.7625877120011474,0.8179730850147942,0.006398652425080449,33400,
qgrid118_wgcn_full,qgrid,118,wgcn,full,QGrid-Synth 118-bus,W-GCN,0.6689520958083832,0.6689520958083832,0.92991010208746,0.36544910179640716,0.5246958689764862,0.4251986383262181,0.027544910179640718,0.6345508982035928,0.737037337301445,0.7899527847360384,0.006578846738400484,33400,
qgrid118_gat_full,qgrid,118,gat,full,QGrid-Synth 118-bus,GAT,0.6764071856287425,0.6764071856287426,0.8002445984508765,0.4701796407185629,0.5923355461677731,0.3872918953654346,0.11736526946107785,0.5298203592814371,0.7379820305496791,0.7820942587181119,0.011206887757216028,33400,
ruan118_cnn1d_full,ruan,118,cnn1d,full,Ruan CAISO 118-bus,1D-CNN,0.9891,0.9891021795640872,1.0,0.9782043591281744,0.9889821085616092,0.9784326149536512,0.0,0.021795640871825634,0.9994370799774833,0.9995130900770093,0.006199144315905869,10000,
ruan118_mlp_full,ruan,118,mlp,full,Ruan CAISO 118-bus,MLP,0.9844,0.9844031193761248,1.0,0.9688062387522496,0.9841560024375381,0.9692720665507876,0.0,0.03119376124775045,0.99713599988544,0.9975597838371256,0.00512435098644346,10000,
ruan118_gcn_full,ruan,118,gcn,full,Ruan CAISO 118-bus,GCN,0.7686,0.7686290307451612,0.8785573400958017,0.6234753049390122,0.7293567251461989,0.5614181073562592,0.08621724344868974,0.3765246950609878,0.8224960328998413,0.874720160435968,0.005864475201815367,10000,
ruan118_wgcn_full,ruan,118,wgcn,full,Ruan CAISO 118-bus,W-GCN,0.8606,0.8606173144246926,0.9361547762998791,0.7740451909618077,0.8474168126094571,0.7322760006163513,0.052810562112422486,0.22595480903819237,0.8926695957067838,0.9281443470788728,0.006171894795261324,10000,
ruan118_gat_full,ruan,118,gat,full,Ruan CAISO 118-bus,GAT,0.8515,0.8515296940611878,1.0,0.7030593881223756,0.8256428319830926,0.7362343415929896,0.0,0.2969406118776245,0.9046026161841046,0.9363442834873634,0.011061267997138201,10000,
