bus,rel_h,mu_phys,seed,updates,scale,mean_sds,fixed_evasion_rate,approx_h_evasion_rate,evasion_drop_points,fixed_median_chi2_over_tau,approx_h_median_chi2_over_tau
30,0.02,0.0,0,80,1.0,0.021147467154862494,1.0,1.0,0.0,0.08170131691731986,0.09356960834071323
30,0.02,0.0,0,80,1.5,0.03172120073229374,1.0,1.0,0.0,0.1838279630639697,0.21101954847000615
30,0.02,0.0,0,80,2.0,0.04229493430972499,1.0,1.0,0.0,0.3268052676692794,0.3740071659571061
30,0.02,0.0,0,80,3.0,0.06344240146458748,0.890625,0.7796875,11.093750000000002,0.7353118522558788,0.8430467444729047
30,0.02,0.0,0,80,4.0,0.08458986861944998,0.015625,0.003125,1.25,1.3072210706771177,1.503419982679103
30,0.02,0.0,0,80,6.0,0.12688480292917495,0.0,0.0,0.0,2.9412474090235152,3.345071308142587
30,0.02,1.0,0,80,1.0,0.02682469005578393,1.0,1.0,0.0,0.10927560080147551,0.1284573136680027
30,0.02,1.0,0,80,1.5,0.04023703508367589,1.0,1.0,0.0,0.24587010180332003,0.2875704632392096
30,0.02,1.0,0,80,2.0,0.05364938011156786,1.0,1.0,0.0,0.43710240320590205,0.5119122103968116
30,0.02,1.0,0,80,3.0,0.08047407016735178,0.53125,0.159375,37.1875,0.9834804072132801,1.1584108762137935
30,0.02,1.0,0,80,4.0,0.10729876022313573,0.0,0.0,0.0,1.7484096128236082,2.059224805543461
30,0.02,1.0,0,80,6.0,0.16094814033470356,0.0,0.0,0.0,3.9339216288531205,4.618494090640365
